item,ans_ind,ans_text,ans_prop,state
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,f,basketball bug,0.44,AL
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,a,shopping cart,40.53,AL
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,c,grocery cart,13.66,AL
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,e,carriage,0.44,AL
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,f,buggy,40.97,AL
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,h,other,4.41,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,a,kitty-corner,17.9,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,c,catercorner,3.06,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,d,catty-corner,61.57,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,e,kitty cross,0.44,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,f,kitty wampus,1.31,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,g,"I can only use ""diagonal"" for this",9.17,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,h,I have no term for this,2.18,AL
76. What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,i,other,4.37,AL
77. What do you call the activity of driving around in circles in a car?,a,doing donuts,87.21,AL
77. What do you call the activity of driving around in circles in a car?,c,whipping shitties,0.46,AL
77. What do you call the activity of driving around in circles in a car?,d,other,12.33,AL
78. What do you call paper that has already been used for something or is otherwise imperfect?,a,scratch paper,39.74,AL
78. What do you call paper that has already been used for something or is otherwise imperfect?,b,scrap paper,18.34,AL
78. What do you call paper that has already been used for something or is otherwise imperfect?,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",40.17,AL
78. What do you call paper that has already been used for something or is otherwise imperfect?,d,other,1.75,AL
79. What is your *general* term for a big road that you drive relatively fast on?,a,highway,59.46,AL
79. What is your *general* term for a big road that you drive relatively fast on?,j,other,9.01,AL
79. What is your *general* term for a big road that you drive relatively fast on?,b,freeway,10.36,AL
79. What is your *general* term for a big road that you drive relatively fast on?,c,parkway,0.45,AL
79. What is your *general* term for a big road that you drive relatively fast on?,d,turnpike,0.45,AL
79. What is your *general* term for a big road that you drive relatively fast on?,e,expressway,1.35,AL
79. What is your *general* term for a big road that you drive relatively fast on?,g,a freeway is bigger than a highway,4.95,AL
79. What is your *general* term for a big road that you drive relatively fast on?,i,"a freeway has limited access (no stop lights, no intersections), whereas a highway can have stop lights and intersections",13.96,AL
80. What do you call it when rain falls while the sun is shining?,a,sunshower,10.48,AL
80. What do you call it when rain falls while the sun is shining?,b,the wolf is giving birth,0.44,AL
80. What do you call it when rain falls while the sun is shining?,c,the devil is beating his wife,46.29,AL
80. What do you call it when rain falls while the sun is shining?,e,fox's wedding,0.44,AL
80. What do you call it when rain falls while the sun is shining?,g,liquid sun,0.87,AL
80. What do you call it when rain falls while the sun is shining?,h,I have no term or expression for this,38.86,AL
80. What do you call it when rain falls while the sun is shining?,i,other,2.62,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",a,goose bumps,80.09,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",b,goose flesh,0.44,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",c,goose pimples,3.54,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",d,chill bumps,13.72,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",f,chilly bumps,0.44,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",g,cold-chill bumps,0.44,AL
"81. When you are cold, and little points of skin begin to come on your arms and legs, you have-",h,other,1.33,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",a,crackling,1.32,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",j,eye crunchie,0.44,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",k,eye crusties,0.88,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",l,sand,3.07,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",n,gunk,3.51,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",o,matter,3.95,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",p,I have no word for this,2.19,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",q,other,7.89,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",b,sleep,48.68,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",c,sleeper,2.63,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",d,sleepy,7.02,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",e,sleepies,3.51,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",g,sleepy bugs,0.44,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",h,eye booger,14.04,AL
"82. What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",i,eye shit,0.44,AL
83. What do you call an easy course?,a,gut,3.32,AL
83. What do you call an easy course?,b,crypt course,3.32,AL
83. What do you call an easy course?,c,crip course,48.82,AL
83. What do you call an easy course?,d,bird,1.42,AL
83. What do you call an easy course?,e,blow-off,12.32,AL
83. What do you call an easy course?,g,other,30.81,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,a,rotary,2.63,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,b,roundabout,28.95,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,c,circle,9.65,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,d,traffic circle,29.82,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,e,traffic circus,0.44,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,f,I have no word for this,26.32,AL
84. What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,g,other,2.19,AL
85. What is the thing that women use to tie their hair?,a,(hair) elastic,4.11,AL
85. What is the thing that women use to tie their hair?,b,rubber band,38.81,AL
85. What is the thing that women use to tie their hair?,c,horsetail,0.46,AL
85. What is the thing that women use to tie their hair?,d,hair thing,13.7,AL
85. What is the thing that women use to tie their hair?,e,hair tie,16.44,AL
85. What is the thing that women use to tie their hair?,f,other,26.48,AL
86. Do you use the word cruller?,a,yes,24.89,AL
86. Do you use the word cruller?,b,"no, but I know what it means",45.41,AL
86. Do you use the word cruller?,c,I have no idea what this means,29.69,AL
"87. Do you use the term ""bear claw"" for a kind of pastry?",a,yes,56.58,AL
"87. Do you use the term ""bear claw"" for a kind of pastry?",b,"no, but I know what it means",36.4,AL
"87. Do you use the term ""bear claw"" for a kind of pastry?",c,I have no idea what this means,7.02,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,a,duck-footed,18.86,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,b,slue-footed,16.67,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,c,splay-footed,4.82,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,d,bow-legged,31.14,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,e,toed out,1.75,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,f,other,2.63,AL
88. What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,g,I have no word for this,24.12,AL
"89. Can you call coleslaw ""slaw""?",a,yes,77.73,AL
"89. Can you call coleslaw ""slaw""?",b,"yes, but I can also use it in other forms such as apple slaw or broccoli slaw",8.73,AL
"89. Can you call coleslaw ""slaw""?",c,no,12.66,AL
"89. Can you call coleslaw ""slaw""?",d,I have never heard that usage before,0.87,AL
90. What do you call the box you bury a dead person in?,a,coffin,50.22,AL
90. What do you call the box you bury a dead person in?,b,casket,34.8,AL
90. What do you call the box you bury a dead person in?,c,"a coffin and a casket are not the same, and I know the difference",8.81,AL
90. What do you call the box you bury a dead person in?,d,other,6.17,AL
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",a,vinegar and oil,8.73,AL
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",b,oil and vinegar,75.98,AL
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",c,both sound equally good to me,11.35,AL
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",d,neither,3.49,AL
"91. Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",e,other,0.44,AL
92. What do you call it when a driver changes over one or more lanes way too quickly?,a,Chinese lane change,3.74,AL
92. What do you call it when a driver changes over one or more lanes way too quickly?,b,Chinese fire drill,13.9,AL
92. What do you call it when a driver changes over one or more lanes way too quickly?,c,other,82.35,AL
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",a,on line,0.44,AL
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",b,in line,98.25,AL
"93. When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",c,both sound equally good,0.88,AL
